"Forbrug af vand (Fysiske vandregnskab) efter vandtype, branche og tid"

" "," ","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
" ","VG G Handel",8050,6066,5755,4916,5135,5796,6360,5281,5966,5787,6829,5645,5877,6195,6150
" ","V45000 45000 Bilhandel og -værksteder mv.",891,729,772,718,762,818,903,771,747,778,806,786,825,834,829
" ","V450010 450010 Bilhandel",484,396,406,395,415,476,494,417,407,393,403,360,378,393,391
" ","V450020 450020 Bilværksteder mv.",406,333,367,323,347,342,410,353,340,385,403,426,446,440,438
" ","V46000 46000 Engroshandel",4237,2877,2671,2291,2366,2671,2689,2461,2673,2946,4103,3364,3396,3500,3472
" ","V460000 460000 Engroshandel",4237,2877,2671,2291,2366,2671,2689,2461,2673,2946,4103,3364,3396,3500,3472
" ","V47000 47000 Detailhandel",2922,2460,2312,1907,2007,2306,2767,2049,2546,2064,1920,1495,1656,1861,1850
" ","V470000 470000 Detailhandel",2922,2460,2312,1907,2007,2306,2767,2049,2546,2064,1920,1495,1656,1861,1850
" ","VH H Transport",3237,3213,2928,2722,2506,2981,2861,2495,2447,2050,2169,1710,1691,1618,1586
" ","V49000 49000 Landtransport",861,1373,1153,1013,909,764,757,701,602,451,281,357,346,271,269
" ","V490010 490010 Regional- og fjerntog",156,245,193,162,139,104,94,90,69,45,3,28,17,9,9
" ","V490020 490020 Lokaltog, bus og taxi mv.",497,922,761,640,549,411,383,369,289,193,13,106,70,38,37
" ","V490030 490030 Fragtvognmænd og rørtransport",209,206,198,212,221,250,280,243,244,213,265,223,258,224,223
" ","V50000 50000 Skibsfart",172,113,102,111,111,104,151,156,117,102,125,50,43,82,81
" ","V500000 500000 Skibsfart",172,113,102,111,111,104,151,156,117,102,125,50,43,82,81
" ","V51000 51000 Luftfart",7,10,12,12,11,8,7,14,10,8,4,5,1,15,15
" ","V510000 510000 Luftfart",7,10,12,12,11,8,7,14,10,8,4,5,1,15,15
" ","V52000 52000 Hjælpevirksomhed til transport",2129,1686,1595,1528,1390,2020,1893,1571,1675,1456,1703,1270,1267,1192,1164
" ","V520000 520000 Hjælpevirksomhed til transport",2129,1686,1595,1528,1390,2020,1893,1571,1675,1456,1703,1270,1267,1192,1164
" ","V53000 53000 Post og kurertjeneste",68,31,66,57,85,85,53,53,43,34,56,28,35,57,57
" ","V530000 530000 Post og kurertjeneste",68,31,66,57,85,85,53,53,43,34,56,28,35,57,57
" ","VI I Hoteller og restauranter",4878,5083,5787,4895,4955,5686,6164,5142,5299,5302,4654,3680,4577,5195,5141
" ","V55560 55560 Hoteller og restauranter",4878,5083,5787,4895,4955,5686,6164,5142,5299,5302,4654,3680,4577,5195,5141
" ","V550000 550000 Hoteller mv.",3398,3713,4416,3464,3481,4103,4284,3679,3762,3875,3292,2577,3424,3973,3926
" ","V560000 560000 Restauranter",1481,1370,1370,1431,1474,1583,1880,1463,1537,1427,1363,1103,1153,1222,1215
" ","VJ J Information og kommunikation",400,476,311,245,263,300,359,252,252,189,218,147,383,224,223
" ","VJA JA Forlag, tv og radio",163,214,145,114,164,135,146,113,119,94,80,59,63,65,64
" ","V58000 58000 Udgivervirksomhed",89,160,69,63,56,57,62,38,58,38,34,25,33,31,31
" ","V580010 580010 Forlag",88,155,68,58,54,56,60,37,56,38,34,25,32,30,30
" ","V580020 580020 Udgivelse af computerspil og anden software",1,5,1,5,2,1,3,2,2,1,0,0,1,0,0
" ","V59600 59600 Radio- og tv-stationer samt produktion af film, tv, mus",74,54,76,51,108,78,83,74,61,56,46,34,30,34,34
" ","V590000 590000 Produktion af film, tv og musik mv.",15,17,28,12,49,31,23,17,19,10,11,8,18,21,21
" ","V600000 600000 Radio- og tv-stationer",59,37,48,39,59,47,60,57,42,46,35,26,12,13,12
" ","VJB JB Telekommunikation",124,127,98,63,49,100,140,100,87,61,100,76,302,145,144
" ","V61000 61000 Telekommunikation",124,127,98,63,49,100,140,100,87,61,100,76,302,145,144
" ","V610000 610000 Telekommunikation",124,127,98,63,49,100,140,100,87,61,100,76,302,145,144
" ","VJC JC It- og informationstjenester",113,135,69,68,50,64,73,39,45,34,37,12,18,15,15
" ","V62630 62630 It- og informationstjenester",113,135,69,68,50,64,73,39,45,34,37,12,18,15,15
" ","V620000 620000 It-konsulenter mv.",97,123,60,56,35,36,56,26,30,22,27,10,13,11,11
" ","V630000 630000 Informationstjenester",16,12,9,12,15,28,17,13,16,12,10,2,5,4,4
" ","VK K Finansiering og forsikring",265,317,260,188,163,221,260,189,211,159,156,105,236,163,161
" ","V64000 64000 Finansiel virksomhed",161,187,153,118,102,133,172,115,120,100,100,68,150,106,103
" ","V640010 640010 Pengeinstitutter",133,153,123,93,82,106,137,95,99,82,81,54,120,85,82
" ","V640020 640020 Kreditforeninger mv.",29,35,30,24,21,27,35,20,21,18,19,14,31,20,21
" ","V65000 65000 Forsikring og pension",56,67,55,46,42,56,73,46,48,39,43,28,68,43,44
" ","V650000 650000 Forsikring og pension",56,67,55,46,42,56,73,46,48,39,43,28,68,43,44
" ","V66000 66000 Finansiel service",47,63,52,24,18,32,15,28,43,20,13,9,17,14,14
" ","V660000 660000 Finansiel service",47,63,52,24,18,32,15,28,43,20,13,9,17,14,14
" ","VLA LA Ejendomshandel og udlejning af erhvervsejendomme",1975,2731,3002,2578,2422,2445,2467,1717,1577,1967,1466,2059,2273,2554,1721
" ","V68100 68100 Ejendomsmæglere mv.",286,209,177,202,241,245,343,204,229,215,256,149,250,268,266
" ","V680010 680010 Ejendomsmæglere mv.",286,209,177,202,241,245,343,204,229,215,256,149,250,268,266
" ","V68300 68300 Udlejning af erhvervsejendomme",1690,2522,2824,2376,2181,2200,2124,1513,1348,1752,1211,1910,2022,2286,1454
" ","V680030 680030 Udlejning af erhvervsejendomme",1690,2522,2824,2376,2181,2200,2124,1513,1348,1752,1211,1910,2022,2286,1454
" ","VLB LB Boliger",45,54,47,39,35,47,64,40,42,33,35,25,59,38,39
" ","V68203 68203 Boliger, husleje i lejeboliger",45,54,47,39,35,47,64,40,42,33,35,25,59,38,39
" ","V680023 680023 Boliger, husleje i lejeboliger",45,54,47,39,35,47,64,40,42,33,35,25,59,38,39
" ","V68204 68204 Boliger, ejerboliger mv.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V680024 680024 Boliger, ejerboliger mv.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","VM_N M_N Erhvervsservice",1150,1322,1848,1784,1934,2582,2965,2494,2634,2828,2007,2004,1942,2004,1959
" ","VM M Videnservice",723,839,1268,1042,1222,1776,2194,1856,1776,1916,1432,1581,1412,1498,1456
" ","VMA MA Rådgivning mv.",310,458,720,713,673,805,1379,1008,1164,1284,957,1033,935,1048,1062
" ","V69700 69700 Advokater, revisorer og virksomhedskonsulenter",133,141,142,224,222,204,450,251,250,267,218,191,198,198,199
" ","V690010 690010 Advokatvirksomhed",7,2,3,5,5,6,5,6,11,8,11,4,4,7,7
" ","V690020 690020 Revision og bogføring",48,37,39,24,28,50,56,31,41,22,17,18,13,17,17
" ","V700000 700000 Virksomhedskonsulenter",79,102,99,195,189,148,390,214,198,237,190,169,180,174,174
" ","V71000 71000 Arkitekter og rådgivende ingeniører",176,317,578,489,451,601,929,757,914,1017,739,842,737,850,864
" ","V710000 710000 Arkitekter og rådgivende ingeniører",176,317,578,489,451,601,929,757,914,1017,739,842,737,850,864
" ","VMB MB Forskning og udvikling",339,318,387,258,487,889,743,753,517,537,399,496,410,389,333
" ","V72001 72001 Forskning og udvikling, markedsmæssig",229,219,271,203,260,247,250,227,209,227,191,196,186,195,185
" ","V720001 720001 Forskning og udvikling, markedsmæssig",229,219,271,203,260,247,250,227,209,227,191,196,186,195,185
" ","V72002 72002 Forskning og udvikling, ikke-markedsmæssig",110,99,116,55,227,643,493,527,308,310,209,300,224,194,148
" ","V720002 720002 Forskning og udvikling, ikke-markedsmæssig",110,99,116,55,227,643,493,527,308,310,209,300,224,194,148
" ","VMC MC Reklame og øvrige erhvervsservice",74,63,160,72,63,82,71,94,95,95,76,52,66,61,61
" ","V73000 73000 Reklame- og analysebureauer",12,6,86,8,6,17,9,6,7,9,7,4,6,7,7
" ","V730000 730000 Reklame- og analysebureauer",12,6,86,8,6,17,9,6,7,9,7,4,6,7,7
" ","V74750 74750 Dyrlæger og anden videnservice",63,58,75,64,56,65,63,88,88,86,69,47,60,54,54
" ","V740000 740000 Anden videnservice",20,23,52,25,31,38,36,66,65,68,51,30,38,35,35
" ","V750000 750000 Dyrlæger",43,34,22,39,25,27,26,23,22,17,19,17,22,19,19
" ","VN N Rejsebureauer, rengøring og anden operationel service",427,483,580,742,712,805,771,638,858,912,575,423,531,506,504
" ","V77000 77000 Udlejning og leasing af materiel",118,148,115,154,114,118,160,116,124,151,177,138,153,154,152
" ","V770000 770000 Udlejning og leasing af materiel",118,148,115,154,114,118,160,116,124,151,177,138,153,154,152
